"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"175",2019,"2","7","1","1","1","S","S","S","2","S","S","4","4","4","1","1","1","2","4","4"
"176",2019,"2","7","1","1","0","S","S","S","2","S","S","4","4","4","1","3","S","1","5","3"
"177",2019,"2","7","1","3","0","S","S","S","1","0","4","S","S","S","1","3","5","2","4","4"
"178",2019,"2","7","1","2","0","S","S","S","2","S","S","4","4","4","1","1","S","1","3","3"
"179",2019,"2","7","1","6","25","S","S","S","1","0","5","S","S","S","1","1","5","1","2","2"
"180",2019,"2","1","2","S","S","3","3","3","2","S","S","4","4","4","1","1","S","1","3","4"
"181",2019,"2","1","1","3","22","S","S","S","2","S","S","1","2","2","2","2","1","4","2","2"
"182",2019,"1","1","2","S","S","4","4","4","2","S","S","3","3","4","3","1","S","1","2","3"
"183",2019,"2","1","2","S","S","2","4","4","2","S","S","4","4","4","1","4","S","1","3","3"
"184",2019,"2","1","1","2","5","S","S","S","2","S","S","2","3","3","1","1","4","2","4","5"
"185",2019,"2","1","1","1","1","S","S","S","2","S","S","2","3","3","1","1","1","4","4","4"
"186",2019,"2","1","1","1","1","S","S","S","2","S","S","2","3","4","1","3","N","1","5","5"
"187",2019,"2","1","1","4","20","S","S","S","2","S","S","1","3","3","2","2","5","3","1","N"
"188",2019,"1","1","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","2","2","3"
"189",2019,"1","1","2","S","S","N","N","1","2","S","S","4","3","4","N","N","2","N","N","1"
"190",2019,"1","1","1","5","20","S","S","S","1","20","2","S","S","S","2","5","5","3","3","2"
"191",2019,"1","2","1","2","0","S","S","S","1","0","6","S","S","S","2","1","S","2","3","3"
"192",2019,"2","2","2","S","S","2","3","3","2","S","S","4","4","4","2","1","S","2","3","3"
"193",2019,"2","2","2","S","S","4","4","4","2","S","S","4","3","4","3","3","S","1","2","2"
"194",2019,"1","2","2","S","S","4","4","4","2","S","S","4","4","4","3","1","S","1","2","3"
"195",2019,"2","2","2","S","S","3","3","3","2","S","S","2","N","3","3","5","S","2","3","5"
"196",2019,"1","2","2","S","S","2","4","4","2","S","S","2","4","4","3","1","S","2","2","3"
"197",2019,"2","2","2","S","S","2","2","3","1","0","4","S","S","S","1","1","S","1","3","4"
"198",2019,"1","2","2","S","S","2","4","4","2","S","S","2","3","4","1","1","S","4","3","2"
"199",2019,"2","2","1","2","4","S","S","S","1","0","6","S","S","S","1","3","3","2","3","3"
"200",2019,"2","2","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","4","5"
"201",2019,"2","3","1","4","5","S","S","S","2","S","S","1","3","3","1","4","4","3","3","4"
"202",2019,"1","3","1","4","10","S","S","S","1","0","6","S","S","S","1","5","5","3","5","5"
"203",2019,"1","3","1","1","0","S","S","S","2","S","S","2","2","2","1","4","S","2","4","4"
"204",2019,"1","3","2","S","S","2","3","3","2","S","S","3","3","3","3","3","S","2","4","4"
"205",2019,"2","3","1","2","0","S","S","S","1","0","5","S","S","S","1","4","S","2","2","4"
"206",2019,"1","3","2","S","S","2","2","4","2","S","S","4","3","4","2","5","S","2","4","4"
"207",2019,"2","3","2","S","S","1","3","3","2","S","S","2","3","4","1","4","S","3","4","5"
"208",2019,"2","3","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","4","4"
"209",2019,"2","3","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","3","3"
"210",2019,"2","3","1","1","0","S","S","S","2","S","S","2","2","1","1","3","S","3","2","3"
"211",2019,"1","3","1","1","1","S","S","S","1","0","6","S","S","S","2","1","5","2","4","3"
"212",2019,"1","3","1","6","0","S","S","S","1","0","6","S","S","S","2","1","S","2","3","4"
"213",2019,"2","3","1","2","10","S","S","S","2","S","S","2","2","2","1","3","1","2","5","4"
"214",2019,"1","3","2","S","S","2","3","3","2","S","S","2","3","3","1","1","S","1","4","1"
"215",2019,"1","3","1","1","1","S","S","S","1","0","5","S","S","S","1","N","1","N","3","3"
