"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"14624","F","9th","Yes","75","Last Year","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","No","No","Yes","Sometimes","Sometimes",NA
"14625","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Sometimes",NA
"14626","F","9th","Yes","35","Last Month","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Not sure","No","Yes","Yes","Always","Most of the time",NA
"14627","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Most of the time","Sometimes",NA
"14628","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"14629","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Always",NA
"14630","M","9th","No","S","S","Yes","Yes","Yes","No","S","S","Yes","No","No","Yes","No","S","Yes","Rarely","Rarely",NA
"14631","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"14632","F","9th","Yes","35","20","S","S","S","Yes","8","Last 7 Days","S","S","S","Yes","4","No","No","Sometimes","Sometimes",NA
"14633","M","9th","Yes","35","Last Month","S","S","S","No","S","S","No","No","No","Yes","N","Yes","Yes","Most of the time","Rarely",NA
"14634","M","9th","Yes","100","11","S","S","S","Yes","1","3","S","S","S","Yes","Yes","Yes","N","Rarely","Sometimes","Last Month"
"14635","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","No","Never","Never",NA
"14636","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Always","Sometimes",NA
"14637","F","9th","Yes","75","25","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","Yes","Yes","No","Most of the time","Sometimes",NA
"14638","M","9th","Yes","75","Last 7 Days","S","S","S","Yes","1","3","S","S","S","Yes","3","Yes","Yes","Rarely","Sometimes","Last Month"
"14639","M","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Never","Never",NA
"14640","F","9th","Yes","1","0","S","S","S","No","S","S","No","No","No","No","4","S","Yes","Most of the time","Rarely",NA
"14641","M","9th","Yes","75","0","S","S","S","Yes","0","Last Year","S","S","S","Yes","No","Yes","Yes","Rarely","Rarely",NA
"14642","M","9th","Yes","100","30","S","S","S","Yes","25","Last 7 Days","S","S","S","Not sure","3","No","Yes","Sometimes","Sometimes",NA
"14643","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Most of the time","Sometimes",NA
"14644","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Sometimes",NA
"14645","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Always","Rarely",NA
"14646","M","9th","Yes","1","0","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","3","S","Yes","Sometimes","Most of the time",NA
"14647","F","9th","Yes","75","Last Month","S","S","S","No","S","S","Yes","No","No","Yes","No","No","No","Never","Rarely",NA
"14648","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Most of the time","Most of the time",NA
"14649","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Sometimes",NA
"14650","M","9th","No","S","S","No","No","No","Yes","0","1-4 Years Ago","S","S","S","Yes","3","S","Yes","Never","Rarely",NA
"14651","M","11th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"14652","M","11th","Yes","100","12","S","S","S","Yes","0","Last 6 Months","S","S","S","No","Yes","Yes","Yes","Sometimes","Sometimes",NA
"14653","M","11th","No","S","S","No","No","No","No","S","S","No","N","No","No","N","S","N","N","N",NA
"14654","M","11th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","No","S","Yes","Sometimes","Rarely",NA
"14655","M","11th","Yes","75","Today","S","S","S","No","S","S","No","No","No","No","5","Yes","Yes","Sometimes","Sometimes",NA
"14656","F","11th","No","S","S","Yes","No","Yes","No","S","S","Yes","No","No","Yes","5","S","Yes","Most of the time","Most of the time",NA
"14657","F","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Sometimes",NA
"14658","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","6","No","Yes","Sometimes","Always",NA
