"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"18741",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Rarely"
"18742",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Never"
"18743",2018,"F","6th","No","1","Today","Yes","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Rarely"
"18744",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Rarely","Sometimes"
"18745",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Sometimes","Sometimes"
"18746",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","Never"
"18747",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Never"
"18748",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Sometimes","Sometimes"
"18749",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Rarely"
"18750",2018,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Rarely","Rarely"
"18751",2018,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Sometimes"
"18752",2018,"F","8th","No","1","Today","No","No","No","Yes","1","5 Years Ago","Yes","No","No","Not Sure","No","1","Yes","Never","Sometimes"
"18753",2018,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Rarely"
"18754",2018,"M","8th","Yes","75","Last 7 Days","Yes","Yes","Yes","Yes","1","1-4 Years Ago","Yes","No","No","Not Sure","No","1","Yes","Never","Never"
"18755",2018,"M","8th","Yes","75","Today","Yes","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Sometimes"
"18756",2018,"F","7th","Yes","75","Today","Yes","Yes","Yes","Yes","1","8","Yes","No","No","Not Sure","Yes","2","Yes","Always","Always"
"18757",2018,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Rarely"
"18758",2018,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Sometimes"
"18759",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","I do not use the internet","I do not use the internet"
"18760",2018,"M","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Most of the time","Most of the time"
"18761",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","No","No","6","Yes","Rarely","Sometimes"
"18762",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","Yes","","","","","",""
"18763",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Sometimes","Sometimes"
"18764",2018,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Most of the time","Most of the time"
"18765",2018,"M","7th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","","No","1","Yes","Most of the time","Sometimes"
"18766",2018,"","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
