"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Any_Tobacco_Craving","E_Cig_Promotions_Internet"
"224",2016,"F","10th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Sometimes"
"225",2016,"M","10th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","Rarely"
"226",2016,"M","10th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","Rarely"
"227",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"228",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"229",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","Yes","No","Sometimes"
"230",2016,"M","7th","Yes","15","Today","Yes","Yes","No","Yes","2","Today","Yes","No","No","Sometimes"
"231",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Sometimes"
"232",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Sometimes"
"233",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"234",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"235",2016,"F","6th","No","1","Today","No","No","Yes","No","1","Today","No","No","Yes","I do not use the internet"
"236",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"237",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"238",2016,"M","6th","No","1","Today","No","No","No","Yes","5","Today","Yes","Yes","Yes","Most of the time"
"239",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"240",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Rarely"
"241",2016,"F","6th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Sometimes"
"242",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"243",2016,"","","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"244",2016,"M","6th","Yes","75","Last 7 Days","Yes","No","No","No","1","Today","No","No","No","Rarely"
"245",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Always"
"246",2016,"M","6th","No","1","","No","No","No","No","1","Today","No","No","No","Rarely"
"247",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"248",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"249",2016,"F","6th","No","1","","No","No","No","No","1","Today","No","No","No","Rarely"
"250",2016,"","","Yes","35","Today","Yes","Yes","No","Yes","2","Today","No","No","No","I do not use the internet"
"251",2016,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"252",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"253",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"254",2016,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"255",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"256",2016,"M","7th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Rarely"
"257",2016,"M","7th","Yes","75","Today","Yes","No","No","No","1","Today","Yes","No","","Rarely"
"258",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"259",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"260",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"261",2016,"","","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Always"
"262",2016,"F","7th","Yes","35","Today","Yes","Yes","Yes","Yes","2","Today","Yes","No","Yes","Sometimes"
"263",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"264",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"265",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"266",2016,"M","7th","No","1","Today","No","No","No","Yes","3","Today","No","Yes","No","Rarely"
"267",2016,"F","7th","No","1","Today","No","No","","No","1","Today","No","No","No","Sometimes"
"268",2016,"M","12th","Yes","15","Last 7 Days","Yes","Yes","Yes","No","1","Today","No","No","Yes","Rarely"
