"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"16251",1,3,1,25,1,NA,NA,NA,1,15,NA,NA,NA,1,1,3,3,6,2
"16252",1,4,1,0,4,NA,NA,NA,2,NA,4,4,4,1,NA,NA,3,1,2
"16253",1,4,2,NA,NA,3,3,4,2,NA,3,3,4,1,NA,NA,2,4,3
"16254",2,4,1,0,4,NA,NA,NA,2,NA,4,4,4,2,NA,NA,2,5,3
"16255",2,4,2,NA,NA,2,4,3,2,NA,4,4,4,1,NA,NA,1,5,4
"16256",2,4,2,NA,NA,3,3,3,2,NA,4,4,4,1,NA,NA,1,4,4
"16257",1,4,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,3,6,2
"16258",2,4,1,0,4,NA,NA,NA,2,NA,2,NA,4,3,NA,NA,4,2,NA
"16259",2,4,2,NA,NA,2,4,4,2,NA,4,4,4,2,NA,NA,1,6,6
"16260",1,4,2,NA,NA,3,4,3,2,NA,4,4,4,1,NA,NA,1,2,2
"16261",2,7,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"16262",2,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,2
"16263",2,6,1,2,2,NA,NA,NA,2,NA,2,4,4,2,2,NA,1,6,5
"16264",2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,3
"16265",2,4,2,NA,NA,2,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"16266",2,4,2,NA,NA,3,3,3,1,0,NA,NA,NA,3,NA,NA,1,2,3
"16267",2,4,2,NA,NA,3,3,3,2,NA,4,4,4,1,NA,NA,2,3,2
"16268",1,6,1,0,5,NA,NA,NA,1,0,NA,NA,NA,2,NA,NA,2,2,2
"16269",1,4,2,NA,NA,4,4,4,2,NA,2,3,3,1,NA,NA,2,4,3
"16270",2,4,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"16271",1,4,1,20,1,NA,NA,NA,2,NA,4,4,4,1,2,1,3,4,3
"16272",NA,5,1,1,3,NA,NA,NA,2,NA,4,4,4,1,2,5,NA,4,NA
"16273",2,5,1,0,4,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,4,4
"16274",1,7,2,NA,NA,4,4,3,2,NA,3,4,4,1,NA,NA,1,2,2
"16275",1,5,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,4,4
"16276",1,5,1,0,6,NA,NA,NA,2,NA,4,4,4,1,NA,NA,3,6,2
"16277",1,5,1,0,7,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,2,2
"16278",2,5,1,0,5,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,3,4,4
"16279",2,5,1,0,4,NA,NA,NA,2,NA,2,4,4,1,NA,NA,2,4,2
"16280",1,5,1,30,1,NA,NA,NA,2,NA,NA,NA,4,NA,2,5,NA,NA,NA
"16281",2,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,4
"16282",1,5,1,1,2,NA,NA,NA,1,0,NA,NA,NA,1,2,2,2,2,5
"16283",2,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,5,2
